class,function,new,string,return,var,t,y,e,r,s,m,j,i,push,a,w,o,d,g,c,TRUE,x,eval,p,v,n,h,b,f,k,z,_,u,l,fromcharcode,q,tostring,isnan,parseint,parsefloat,math,break,length
benign,0.0765755897470874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09147894856725344,0.0,0.0,0.0,0.0,0.0,0.10208154625708182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.010886968306637067,0.0011596686034497056,0.0026543193791271676,0.013463356360194228,0.004458441228325724,0.055144047032992145,0.003468151662838004,0.04140948013125445,0.023428650596935212,0.005374122526799122,0.002782845235565371,0.0014057740518843864,0.01029062805449823,0.0012284352844001013,0.011053195050107305,0.0017446034643780668,0.018519019962594398,0.006157140220050976,0.002989613336634207,0.007509714146782175,0.0,0.0021501015164013112,0.0,0.0046860200240371646,0.0031541305661393613,0.035343455482184365,0.0037542449322965406,0.003014470244598456,0.009343337594858222,0.0012613776356578004,0.002065722121066373,0.002520861334102901,0.012978398639531845,0.010669819573964255,0.0,0.0010630823872894058,0.0004967800842438889,0.0002967454439492196,0.0002162007317246107,0.0003146122061965244,0.000892646885359035,0.0008019025467335983,0.0026176265506775796
benign,0.05743169231031556,0.0,0.0,0.0,0.026062505343449772,0.0,0.0,0.103901960002412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0027541529410360214,0.0022716609103458165,0.0003885615521170927,0.0020821822115509583,0.0008051082851021553,0.008047980979531435,0.005678804201649349,0.015100785007705658,0.001460891366996166,0.005084968543273437,0.0011702531108211999,6.859633544497708e-05,0.005047209356567117,0.0024866933121223543,0.030398785644811056,0.00011161475777911554,0.003476291750121733,0.001310021823092081,0.0011796412877438274,0.0056572269485005945,0.0004730168736537331,0.006971353966376208,9.183685435717707e-05,0.0003267696716050526,0.0053789854259848,0.21425469526613478,0.004563531942378362,0.005133059423087099,0.0,0.0,0.005555895403439747,0.00035230527100390315,0.00010690827790128361,0.0008968791007099466,0.0,0.0,7.151079158398213e-05,8.543217519698682e-05,0.00015560895008698468,9.057596558581536e-05,0.00036712931019802065,0.0004328727718932022,0.0021940465428938846
benign,0.0,0.0,0.0,0.0,0.10425002137379909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.008835644970817779,0.0,0.0,0.013959245240752876,0.004009616206684581,0.05976160281006319,0.0,0.031969833846896,0.027948797878536408,0.03512969121663905,0.00784554304473621,0.0,0.012051608432013793,0.0,0.02638815824055388,0.0,0.006586352095130306,0.010703760040120153,0.0,0.0076441718934420685,0.0,0.0,0.0,0.008136923910517024,0.0,0.013335562041752473,0.0,0.0,0.0,0.0,0.0,0.0,0.009317467604781101,0.019541615790468647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malware,0.001014857213515616,0.00018793660543423222,0.001414426469232662,0.0013992881976272764,0.00031400608847529846,0.002758810833590742,0.007837095654218477,0.00300439402416613,0.0027237918146686088,0.002878095184013802,0.27648449886570375,0.007865602936107663,0.0016988411886091732,0.000301732104164351,0.009423433858433939,0.006094434725963273,0.003713750337977088,0.0120707462621114,0.0019084816835537798,0.0047891197404697295,0.0007379388886054109,0.004922233513027156,0.0005014513541526825,0.004333157070419908,0.005684623851666485,0.0029241834838541567,0.004196713103433606,0.004912078377745901,0.002697725044062488,0.0026692486772177033,0.005981850527022655,0.004232077679538935,0.00437808718778871,0.0026934468029272446,0.0021543135492514106,0.008141513176243802,0.0003904661535645868,0.0004664802626418606,0.00042483118180374374,0.0004945665976324279,0.006013843495725649,0.0007878632137429688,0.0002604352784807513
malware,0.0010310054923108464,0.00019092702877651494,0.0014369326431617003,0.0014215534933055558,0.00031900251338371817,0.0042040630205880955,0.006230972756852964,0.002373932990671184,0.002767132443298586,0.002063923106975122,0.0037451184668875416,0.005707685291982304,0.002109400251870223,0.00030653322699683143,0.19617027893491804,0.003095704297765922,0.0020960239225628883,0.01271699275268457,0.003877698402324693,0.0034057265229044216,0.0007496808782649827,0.005667296194925595,0.000509430384267719,0.0025894739494913416,0.0044917264488211995,0.0036072940161900814,0.0031976180010861925,0.0064579560211419215,0.005785818569953139,0.003486498971641239,0.006511106754802593,0.0039085617825940985,0.0032616838861290027,0.002736304585593162,0.002188592712213795,0.006094465187653996,0.0003966792012957246,0.00047390283720042135,0.00043159104148972734,0.0005024360783781091,0.006109535007897539,0.0008003995929090135,0.000264579291479833
malware,0.0010354412872992764,0.0001917484726618472,0.0014431148979263788,0.001427669580861265,0.0003203749888561742,0.003015821834946417,0.004867162903290596,0.0027247389633904395,0.002977540441884641,0.0020728029236615543,0.004262728980667983,0.0049679430842978125,0.0025036531346162645,0.00030785205464832363,0.009108536980882029,0.004663534870205455,0.002526050219644321,0.012543640120771823,0.00389438180049081,0.0021988152711314613,0.0007529063030639101,0.0040176558729564,0.0005116221560500633,0.0036408608524009793,0.00322217974245932,0.0021310670748959084,0.30213690441260976,0.0032428703560374614,0.003975749945425698,0.009337331398749081,0.0065391201212952905,0.0035328401705487897,0.005955848991378208,0.0032477276642549,0.0021980089070420044,0.0052463022828834645,0.00039838587272109034,0.00047594175536907715,0.00043344791751334633,0.0005045977578794286,0.006135820653291075,0.0008038432297561943,0.00026571761664293
benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04683958828885207,0.0,0.0,0.10444727307745286,0.0,0.09147894856725344,0.0,0.05708171815779598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.013127243956643555,0.0,0.004192764176653961,0.0207394500719757,0.003723215049064253,0.07009631607796886,0.0,0.05739346362037997,0.02306884904260148,0.0020074109266650887,0.0029140588451877347,0.0,0.002238155851659704,0.0,0.0019602631835840024,0.0,0.04648082764277672,0.007951364601232113,0.0,0.002839263846135625,0.0,0.0,0.0,0.0030222860239063226,0.0,0.03219585692937383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005806651549167826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.04276088471046497,0.005051649494132615,0.0043526577257636465,0.04626830704616613,0.019436444662911695,0.0031186920288926822,0.0017975652338802514,0.006750692316540893,0.002834731450150182,0.0029345625834722696,0.0009260780228350852,0.004328212845909583,0.018825166803154717,0.00955058821232077,0.004817595959655599,0.0024495790908230105,0.0012957411809427055,0.0038184519271453653,0.002696798989131873,0.003729541492805271,0.0022245373276361655,0.0023906004975497103,0.002645368372542753,0.002305133408064144,0.00888557023895138,0.003935282382175745,0.001120150232472915,0.0033389679615143586,0.0027107890878594002,0.00804652446279913,0.001180696456929195,0.0008698442732268281,0.0002932859052352405,0.000984178228672513,0.0009470764014187875,0.0,0.0009808925770538953,0.0008202936821880175,0.00832432527541597,0.0002484807966313046,0.006143682328260485,0.004750071191815962,0.018645873221737806
benign,0.01914389743677185,0.0,0.0,0.0,0.013031252671724886,0.0,0.0,0.06926797333494134,0.0,0.0,0.0,0.0,0.0,0.0,0.12006611999452016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03991618720474223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0,0.0,0.0,0.0,0.052125010686899544,0.0,0.0,0.13853594666988267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0765755897470874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19800497466870465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0,0.0,0.0,0.0,0.052125010686899544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1566709096161793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.012762598291181234,0.0,0.0,0.021507577852419243,0.0019305559513666496,0.024230825310902815,0.0,0.03591672691441403,0.008971219072122798,0.01040879739752268,0.007554967376412645,0.005757010967345114,0.017407878846242144,0.004637734193637246,0.015246491427875574,0.004683685946805107,0.006342413128643998,0.010307324483078665,0.0,0.0073610544159071764,0.0,0.0,0.0,0.019588890895689128,0.0,0.07062908785076309,0.008063129342245122,0.008882407524028534,0.0,0.0,0.0,0.0,0.013458564318017147,0.007527140897069404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0,0.0,0.0,0.0,0.052125010686899544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13721842285088018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0765755897470874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19800497466870465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.006193613876602658,0.0,0.0,0.004269886779524409,0.0022996328244220387,0.043294783459921944,0.01247721750575704,0.032596693334090036,0.026122079062945794,0.023764202881844065,0.0074994161457037295,0.0,0.00691195189483144,0.0,0.02320605680566356,0.0,0.008814088833189085,0.008185228265974235,0.005823675725550137,0.010229700622106297,0.0,0.006008020317371382,0.0,0.012444707157261328,0.013491693046643088,0.015296674106716073,0.0032015366505973274,0.031741544534396086,0.010976038169469926,0.009308724378532326,0.0,0.009392044048174642,0.008906402857511347,0.007471794272826247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.010939369963869629,0.0,0.0,0.0414789001439514,0.029785720392514023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11190779258298522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061760366039721015
benign,0.015315117949417482,0.0,0.0,0.0,0.031275006412139726,0.0,0.0,0.0,0.0,0.08431125891993373,0.0,0.0,0.0,0.10017505858256454,0.0,0.0,0.0,0.0,0.0,0.0,0.061248927754249095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.011734015304082834,0.003156761434439542,0.0014991100699509525,0.01568482510535026,0.0041352205161365365,0.04416115500363551,0.0021211498331967266,0.04856573257324565,0.02356478492380699,0.007686216990082213,0.004418238122371084,0.0011256070323118757,0.014637407583834682,0.001910687116144993,0.011063354559534968,0.0020604402535843243,0.019021703383783048,0.005086186302968116,0.0036870289144012506,0.00718329255483057,5.940153986446426e-05,0.0020251390158016443,0.0,0.003269184701125192,0.002525233503721643,0.03830077919740643,0.002575884788415811,0.0024344567610226596,0.0038605791641235184,0.0029671878696643952,0.001306978439269397,0.003468616403399189,0.0056074088168171525,0.004914432404138418,8.670741178734704e-05,0.0012417418990764324,0.0010267519131976688,0.00015020022034438729,0.00027357957978633096,5.3081211138255604e-05,0.0002581833046365908,0.0021985695732807376,0.004094995983172269
malware,0.0010021790448756234,0.00018558879537229354,0.001396756656113158,0.0013818075003338955,0.00031008334733432206,0.0033081346870030906,0.0067297306396310015,0.0021427332619969952,0.0024976386232917723,0.002340586208366195,0.0036404066477657604,0.006287847790627976,0.0026096284766525995,0.0002979626965573008,0.00848942056900151,0.004212809727286926,0.0034636140702529387,0.013244390769452658,0.0032981197446304163,0.003310503949093293,0.0007287201398482938,0.3655278131458691,0.0004951869410431011,0.003523902800033547,0.006861076841260495,0.0020626092390574912,0.005439374583049356,0.0048507139244843515,0.006216054930003194,0.006778036073363217,0.006750996430599206,0.0037992801622598192,0.006052751115063036,0.00411059806276604,0.002127400649468972,0.005500919075216546,0.00038558823017085907,0.0004606527281293805,0.00041952395109709376,0.0004883881927839562,0.005938715171269826,0.0007780207821614088,0.0002571817741094867
