,0
class,malware
unix2dostime,1.0
getdate,4.0
addfile,4.0
crc32,2.0
gzcompress,2.0
compress,3.0
bzcompress,1.0
gzencode,3.0
zipfile,1.0
moreread,15.0
readzlib,5.0
morewrite,4.0
mailattach,2.0
connect,27.0
select_db,15.0
get_result,1.0
dump,2.0
affected_rows,1.0
err,15.0
my_sql,5.0
in,243.0
u_value,3.0
print_r,5.0
u_wordwrap,2.0
ws,158.0
error_log,3.0
functions,1.0
session_save_path,1.0
get_users,4.0
searchresult,3.0
ex,21.0
safe_ex,3.0
extension_loaded,3.0
sprintf,166.0
which,11.0
ps,1.0
locate,1.0
cf,8.0
sr,182.0
view_size,12.0
dirfilesr,1.0
getmicrotime,6.0
getfilestotal,1.0
gettitles,1.0
gettimetotal,1.0
getmatchescount,1.0
getfilematchescount,1.0
getresultfiles,1.0
searchtext,1.0
list,7.0
mod_include,1.0
echo,206.0
print,33.0
stat,3.0
printf,14.0
eh,1.0
is,2.0
access,8.0
uid,1.0
array_unique,11.0
mysqli,1.0
mysqli_connect_error,1.0
sqlitedatabase,1.0
cx,3.0
toutf,2.0
imagecreatetruecolor,1.0
imagecopyresized,1.0
iconv_substr,2.0
setlocale,3.0
fnmatch,2.0
imagepsloadfont,2.0
msql_pconnect,1.0
msql_connect,1.0
win_browse_file,1.0
iis_getservicestate,1.0
ntuser_getuserlist,2.0
com_print_typeinfo,2.0
iconv_mime_decode_headers,1.0
iconv_mime_decode,2.0
iconv_strlen,2.0
strrev,5.0
div_title,42.0
div,42.0
version,6.0
user,2.0
unserialize,6.0
dl,1.0
array_fill,2.0
substr_compare,1.0
zip_entry_read,1.0
sqlite_udf_decode_binary,1.0
msg_receive,1.0
php_stream_filter_create,1.0
gdimagecreatetruecolor,1.0
gdimagecopyresized,1.0
iconv_m_d_headers,1.0
rtrim,11.0
exe,29.0
swd,2.0
hss,12.0
rp,3.0
cs,23.0
ss,41.0
ssc,10.0
rs,229.0
ts,6.0
gs,3.0
gp,6.0
pclose,5.0
cp,19.0
rmdirs,4.0
getallfiles,2.0
xwhich,1.0
dlfile,3.0
get_writabledir,5.0
zip,2.0
ziparchive,3.0
recursiveiteratoriterator,2.0
recursivedirectoryiterator,2.0
strrpos,4.0
check_access,16.0
get_archiver_available,3.0
showdir,7.0
chdir,13.0
tukar,8.0
sql_connect,2.0
sqlite3,1.0
pdo,1.0
sql_query,4.0
sqlsrv_query,2.0
oci_parse,1.0
oci_execute,1.0
sqlite_query,1.0
odbc_exec,1.0
sql_num_fields,5.0
sqlsrv_num_fields,2.0
sqlite_num_fields,2.0
odbc_num_fields,2.0
sql_field_name,5.0
sqlsrv_field_metadata,1.0
sqlite_field_name,1.0
odbc_field_name,4.0
sql_fetch_data,4.0
sqlsrv_fetch_array,1.0
oci_fetch_row,1.0
sqlite_fetch_array,1.0
odbc_fetch_array,1.0
sql_num_rows,5.0
mssql_num_rows,2.0
sqlsrv_num_rows,1.0
pg_num_rows,1.0
oci_num_rows,1.0
sqlite_num_rows,1.0
odbc_num_rows,1.0
sql_close,2.0
sqlsrv_close,1.0
oci_close,1.0
sqlite_close,1.0
odbc_close,1.0
str_split,2.0
is_readable,5.0
rename,3.0
rand,16.0
array_filter,6.0
array_diff,12.0
submithex,2.0
hexfix,2.0
function,443.0
init,8.0
getelementsbytagname,25.0
preventdefault,5.0
submit,85.0
focus,11.0
toggle,3.0
clickcmd,1.0
download,3.0
createrange,3.0
getselection,1.0
tostring,13.0
getcurpos,3.0
setcurpos,4.0
hexupdate,1.0
fromcharcode,6.0
replace,42.0
clearpos,2.0
indexof,20.0
remove,8.0
evalselect,1.0
setselectionrange,1.0
createtextrange,1.0
collapse,1.0
movestart,2.0
moveend,1.0
select,27.0
getelementsbyname,7.0
findtype,1.0
ckeditor,4.0
register_shutdown_function,4.0
inclink,24.0
delm,6.0
callfuncs,6.0
input,50.0
permcol,3.0
callperms,4.0
callshsrc,1.0
escapeshellcmd,4.0
callzone,1.0
scalar,1.0
inisaf,2.0
inifunc,2.0
callocmd,8.0
fgetc,2.0
readable_size,3.0
upload,3.0
dir,6.0
owgr,2.0
rdread,1.0
rdsave,1.0
fget,2.0
svetxt,1.0
fileowner,4.0
filegroup,4.0
callback,43.0
getprotobyname,1.0
socket,3.0
inet_aton,1.0
microtime,7.0
class_exists,6.0
get_magic_quotes_gpc,2.0
get_cfg_var,7.0
s_array,3.0
scookie,3.0
encode_pass,3.0
loginpage,4.0
pathinfo,6.0
mydbconn,10.0
sqldumptable,3.0
checkall,1.0
createdir,2.0
fileperm,5.0
copyfile,2.0
dofile,5.0
createfile,3.0
opfile,5.0
godir,10.0
getsize,2.0
editrecord,3.0
moddbname,2.0
settable,14.0
formhead,22.0
makehide,67.0
formfoot,18.0
getcfg,6.0
getpath,3.0
base_convert,2.0
strtotime,4.0
sizecount,9.0
shownav,1.0
getchmod,8.0
getperms,7.0
getuser,6.0
is_object,3.0
tbhead,2.0
getwdirlist,3.0
getwfilelist,3.0
getsfilelist,3.0
dirsize,3.0
is_numeric,7.0
bg,14.0
getuppath,2.0
mysqlfile,3.0
makeinput,33.0
makeselect,6.0
path,1.0
mysql_get_server_info,2.0
tbfoot,5.0
multi,2.0
preg_match_all,12.0
html_clean,2.0
mysql_affected_rows,1.0
fr,5.0
execute,20.0
maketext,3.0
formfooter,6.0
goback,3.0
second,2.0
parameter,1.0
secparam,22.0
mysql_get_client_info,1.0
debuginfo,2.0
ob_end_flush,2.0
number_format,7.0
is_array,22.0
deltree,3.0
getfun,1.0
getext,3.0
is_dir,3.0
clearstatcache,9.0
is_file,2.0
qy,1.0
mysql_free_result,10.0
mysql_fetch_assoc,10.0
pr,1.0
sha1,3.0
fzlngft,1.0
stripslashes_array,4.0
getphpcfg,2.0
getrowbg,5.0
each,57.0
dir_writeable,1.0
do_down,2.0
do_show,4.0
eanver,2.0
do_download,2.0
css_main,3.0
start_unzip,2.0
css_img,2.0
css_left,2.0
html_n,112.0
html_img,6.0
file_mode,9.0
file_str,24.0
css_js,5.0
file_act,2.0
html_input,27.0
do_write,5.0
html_a,24.0
uppath,2.0
str_path,7.0
file_size,3.0
gmdate,4.0
msg,9.0
html_select,18.0
do_deltree,2.0
array_pop,4.0
file_read,7.0
values,2.0
nfull,2.0
file_write,8.0
full,2.0
addtank,1.0
insertrow,3.0
insertcell,6.0
deltank,1.0
deleterow,3.0
html_text,5.0
html_radio,3.0
do_passreturn,6.0
fulll,3.0
mysql_shellcode,2.0
state,1.0
fullm,2.0
delok,2.0
unescape,4.0
createok,1.0
eregi,6.0
html_main,2.0
css_foot,2.0
do_showsql,1.0
hmlogin,1.0
testutf8,1.0
ord,4.0
info_cfg,2.0
info_fun,3.0
do_phpfun,1.0
startfile,2.0
adddir,2.0
listfiles,3.0
num_bitunit,2.0
muma,1.0
debug,1.0
xxstr,1.0
html_ta,1.0
html_font,1.0
gethtml,1.0
reload,2.0
islogin,1.0
gradient,6.0
html_sql,1.0
mysql_len,1.0
substr_replace,1.0
css_showimg,1.0
hgs_startnotify,1.0
rusurechk,1.0
rusuredel,1.0
escape,3.0
checkdate,2.0
match,11.0
submiturl,1.0
search,15.0
find,18.0
findtext,2.0
scrollintoview,1.0
varchar,58.0
getobject,2.0
all,4.0
showhide,3.0
filezip,2.0
packfile,2.0
at,1.0
return,31.0
ftell,2.0
fseek,4.0
readfileheader,1.0
unpack,3.0
mktime,3.0
readcentralfileheaders,1.0
readcentraldir,1.0
extractfile,1.0
touch,11.0
gzread,1.0
iph,1.0
curl_errno,8.0
cpanel_check,4.0
atime,1.0
fperms,6.0
conv_size,4.0
